province,type_property,property_url,property_id,subtype_property,type_of_contract,postal_code,city,price_in_€,vat_included,state_of_property,heating_type,sun_exposure,livable_surface_in_m²,construction_year,epc_score,latitude,longitude,furnished,nb_of_facades,nb_of_floors,nb_of_bedrooms,nb_of_bathrooms,nb_of_showers,nb_of_toilets,terrace,veranda,elevator,access_for_disabled,garden,garage,swimming_pool,cellar,attic,flooding_area_type,distance_from_train_stations_by_foot_in_m,distance_from_train_stations_by_car_in_m
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1150/sint-pieters-woluwe/vbe35189,vbe35189,residence,sale,1150,sint-pieters-woluwe,925000.0,0,,,,,,G,,,0,,,,,,,0,0,0,0,0,0,0,0,0,,,
brussels,Apartment,https://immovlan.be/en/detail/duplex/for-sale/1000/brussels/vbe35095,vbe35095,duplex,sale,1000,brussels,395000.0,0,,,,,,E,,,0,,,,,,,0,0,0,0,0,0,0,0,0,,,
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1210/sint-joost-ten-node/vbe35094,vbe35094,apartment,sale,1210,sint-joost-ten-node,295000.0,0,,,,,,D,,,0,,,,,,,0,0,0,0,0,0,0,0,0,,,
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbe35040,vbe35040,apartment,sale,1050,elsene,465000.0,0,,,,,,C,,,0,,,,,,,0,0,0,0,0,0,0,0,0,,,
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1080/sint-jans-molenbeek/vbe34837,vbe34837,apartment,sale,1080,sint-jans-molenbeek,259000.0,0,,,,,,C,,,0,,,,,,,0,0,0,0,0,0,0,0,0,,,
brussels,Apartment,https://immovlan.be/en/detail/studio/for-sale/1210/sint-joost-ten-node/vbe34652,vbe34652,studio,sale,1210,sint-joost-ten-node,150000.0,0,,,,,,F,,,0,,,,,,,0,0,0,0,0,0,0,0,0,,,
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbe34650,vbe34650,apartment,sale,1180,ukkel,190000.0,0,,,,,,G,,,0,,,,,,,0,0,0,0,0,0,0,0,0,,,
brussels,Apartment,https://immovlan.be/en/detail/studio/for-sale/1180/ukkel/rbw19605,rbw19605,studio,sale,1180,ukkel,155000.0,0,,,,,,F,,,0,,,,,,,0,0,0,0,0,0,0,0,0,,,
brussels,Apartment,https://immovlan.be/en/detail/duplex/for-sale/1070/anderlecht/vbe34263,vbe34263,duplex,sale,1070,anderlecht,319000.0,0,,,,,,G,,,0,,,,,,,0,0,0,0,0,0,0,0,0,,,
brussels,House,https://immovlan.be/en/detail/mixed-building/for-sale/1160/oudergem/vbe34034,vbe34034,mixed-building,sale,1160,oudergem,625000.0,0,,,,,,E,,,0,,,,,,,0,0,0,0,0,0,0,0,0,,,
